date,forecast_price_inr_10kg,lower_80pct,upper_80pct,trend,lower_95pct,upper_95pct,is_forecast
2018-01-01,494.45659152233964,488.24113412339534,500.68159522759464,878.6833878836334,485.43436707932307,503.64456913398965,False
2018-02-01,514.2229162972138,508.3092104273135,520.463917358198,881.8995044840339,505.324665595322,522.9654306422797,False
2018-03-01,507.31963399048857,501.86757306482775,513.2083411070971,884.8043839940729,497.9924523316883,515.7510886854292,False
2018-04-01,502.98839936531294,497.23729395073696,509.3855146962235,888.0205005944732,493.72811552179775,511.3988248591015,False
2018-05-01,507.5327317403366,501.7000016441312,513.3506603259327,891.1328715949983,498.0096634863926,516.2733715983603,False
2018-06-01,489.61126679362513,483.5749531860285,495.60163201131587,894.3489882955408,481.2550753442184,497.99402856135544,False
2018-07-01,451.6306942078416,445.63298280846504,457.24371721252527,897.461359296066,442.14635149615515,459.91355473674787,False
2018-08-01,453.61970324274427,447.5168940270659,459.3521620103281,896.864927693547,444.9914227940135,463.34717108146197,False
2018-09-01,465.3993951038533,459.3289166675831,471.7575268904006,896.268496091028,456.88082620103813,474.17625044697087,False
2018-10-01,463.14754067258224,456.9013222751149,469.2402241162967,895.6913042176225,453.8362383575758,471.6188657168391,False
2018-11-01,402.9547802475489,396.55761147633757,408.89461574874434,895.0948725132084,393.90000948724764,411.94431147191295,False
2018-12-01,412.9383643486726,407.12601109995904,419.31669276532284,894.5176805411947,403.9076654419349,421.95190511355315,False
2019-01-01,469.57662687177213,463.4030337560854,475.5843663787824,893.9212488367809,460.0719406124811,479.0210287165565,False
2019-02-01,478.6388165113762,473.00901693054885,484.483119647816,893.3248255198812,470.1902721586194,487.64384712413454,False
2019-03-01,438.7165742496734,432.5648862838456,444.72858244053106,892.786120588488,429.7583655891101,447.863912192269,False
2019-04-01,441.0176509810043,435.125829729979,447.08181538312346,892.1896972715884,432.3767795394553,450.3600921003873,False
2019-05-01,411.1546518812596,405.36522144015674,416.91924979882384,891.6125134165242,402.260047461005,420.76208619015154,False
2019-06-01,411.8487312470981,406.0672364535445,417.73535207367365,888.7908954085285,401.6558260742598,421.299628525896,False
2019-07-01,396.02809019536596,390.0930296579621,401.9662398658528,886.0602973362749,386.8741720167178,404.9406733970395,False
2019-08-01,457.7044071071188,451.7017985498187,463.13829461444607,883.2386793282792,448.78787647458086,466.90540506261164,False
2019-09-01,452.98280770523445,447.18073256918507,459.3865635735432,874.2155013758264,443.4278975969037,461.78729377135284,False
2019-10-01,468.19724589072337,462.1846447234221,474.36762722447526,865.4833936799043,459.09525509411435,477.3438366755647,False
2019-11-01,556.0447518735331,550.4432886996763,562.3717896388429,856.4602157274516,547.3847773904313,564.9439878633432,False
2019-12-01,624.8954926394392,619.1392848219742,630.7263908784524,855.6057133249911,615.7304804868367,633.8653862405051,False
2020-01-01,663.8883451437808,658.0539682287188,669.5895354174385,854.7227275091157,654.5812039245827,672.6194322569065,False
2020-02-01,581.9778398875073,576.3781869150043,587.9395604596192,853.8397416932401,572.8119219386929,590.5572652702489,False
2020-03-01,524.1488099642289,518.4506964868218,530.0165828990097,853.6732327157537,514.9670335665796,532.9314425146725,False
2020-04-01,498.14405020436055,492.09673185116276,504.2214931076349,853.4952403605097,489.34367805397903,506.78691232429827,False
2020-05-01,470.37371542245256,464.46414609780675,475.98714816257467,853.3229896941443,461.5264224596945,479.3407971291478,False
2020-06-01,547.9291681392141,541.7758821049022,554.222840723742,850.5752161051996,538.327785945371,556.9299219816621,False
2020-07-01,575.9603276865807,569.9851468377294,581.9461482549463,847.9160803739628,566.5089254980021,585.0120393941606,False
2020-08-01,636.7663365259733,631.1142523450328,642.9855336158564,845.168306785018,627.109828041106,646.1549385147927,False
2020-09-01,655.4451081006463,649.855861290812,661.93518902631,841.2516398685558,646.8109940526506,664.272512832697,False
2020-10-01,678.6049833258712,672.5632973029415,684.3860861827401,837.461317046173,669.6673626444945,687.5819422550638,False
2020-11-01,789.9478762845364,783.9805178703417,795.847938950549,833.544650129711,781.1450471847743,799.2276957751235,False
2020-12-01,851.1917690377521,845.2885813868875,857.3151498636345,829.754327391932,842.1301827761793,860.8552028234855,False
2021-01-01,866.1445196140446,860.2675716789394,872.5513439313064,825.8376605628936,856.1963606450785,874.9048019403562,False
2021-02-01,891.2760129861476,885.5216308492143,897.5800678062999,821.920993733855,881.7023745050673,899.6378035763775,False
2021-03-01,921.8178046305123,915.9772477692483,927.9847434998869,822.2343254521338,913.0763702267238,930.7639233664954,False
2021-04-01,974.4005523702135,968.7308468387187,980.1425846272836,822.5812284259425,965.1852088388223,983.461652988948,False
2021-05-01,1028.277918717299,1022.311345202302,1034.4548332977024,822.9169409812414,1019.3435163310287,1037.673078346651,False
2021-06-01,854.0621230792515,847.9264992962765,860.1761127751182,823.2638439550501,845.1874554937018,862.7324686102387,False
2021-07-01,949.360796022237,943.1650163347763,954.9075873196623,823.6098755743815,940.0253637193117,958.0689783845743,False
2021-08-01,1012.2783949826508,1005.84963447175,1018.3842557999845,823.967441581024,1003.2628601737715,1021.1041001322939,False
2021-09-01,1034.586100784961,1029.2101994939194,1040.7263150087012,824.3250075876664,1025.163581306659,1043.7409181325356,False
2021-10-01,1250.877785764409,1245.355750146345,1257.1941734089978,824.6849301083324,1241.5257414236937,1259.9240646692144,False
2021-11-01,1286.8257284265958,1281.478836867423,1292.5805300136637,825.0568500463542,1277.2441277483902,1295.7880754995754,False
2021-12-01,1223.8093496356657,1217.685426023003,1229.695788375676,825.4167725670203,1214.1518474915345,1233.400391266398,False
2022-01-01,1251.6011081353663,1245.5755124293848,1257.3589190301345,825.789766200737,1242.7599146663906,1260.8659205189394,False
2022-02-01,1419.516829287934,1413.6179183585598,1425.9061166942752,826.1627598344536,1410.554466977647,1428.6730579100295,False
2022-03-01,1627.5808157901354,1621.9711111086774,1633.5108668757994,826.4996573100688,1618.051698920308,1636.8231200240584,False
2022-04-01,1592.6244833325713,1586.4123197435533,1598.4408362833506,831.4434759843814,1583.4190555066727,1601.0987667461327,False
2022-05-01,1598.598037310135,1593.0002430911973,1604.654659624457,836.2278166369422,1588.9676081233026,1607.541167086365,False
2022-06-01,1385.710268804148,1379.946490787001,1391.415086993035,841.1716353112549,1376.5594297420203,1394.9833429633616,False
2022-07-01,977.2886172052297,971.0903865159219,983.1486894288635,841.0209599805527,968.0913029438512,985.6426664205014,False
2022-08-01,998.3641081908628,992.4010092928565,1004.2993260302422,840.8652621388271,988.6202705209604,1008.1962733423233,False
2022-09-01,870.9843486552277,865.0964126932935,877.1145071777484,840.7095642971015,861.7631850327106,880.1970924129454,False
2022-10-01,826.6465125684484,820.7872891697673,832.959527397556,844.4933095150611,817.2939563927393,835.3860666623005,False
2022-11-01,903.0509717753295,896.9369063002121,909.1481143310727,848.4031795736194,895.1590510575631,911.9855909224891,False
2022-12-01,924.4065853316412,918.2433415442766,930.2272314841251,852.186924791579,914.9674285116052,933.7249639188694,False
2023-01-01,932.4497301939073,926.8714838770642,938.3777498696966,852.1375841084113,923.3817147800808,941.1182047197037,False
2023-02-01,939.3975093865453,933.1530754959698,945.4166379847263,852.0882434252436,930.6461766553861,948.851680358999,False
2023-03-01,951.9825103929729,946.1654123149965,958.1235325581368,852.0436776468985,943.122546451716,961.1416893779918,False
2023-04-01,966.8936116067205,961.1565315674709,972.7350206996672,851.9933194261667,958.1395400223099,976.0178272053881,False
2023-05-01,867.8280985481622,861.918641626238,873.6826778731829,851.9445856641684,858.4370112095065,876.6970778178279,False
2023-06-01,802.8140384959979,797.090682677418,808.78027342263,851.8942274434366,794.3132757274244,811.1701805518425,False
2023-07-01,879.6583675237991,873.6658352430052,885.4447756440809,851.8454936814384,870.8585534657278,889.4020814335281,False
2023-08-01,860.6324855518061,854.3617557087849,866.3086604030367,851.7951354581747,851.55582757931,869.6768878589853,False
2023-09-01,828.9875449384244,823.1197545989169,835.0525903657391,851.7447772349111,820.5528379790264,837.6168976773615,False
2023-10-01,812.2043396716099,806.2858788836655,818.3779221678567,851.6960434704622,803.1692900689563,822.2537694645749,False
2023-11-01,840.0622910998118,833.6658837469554,845.9613783643665,852.1972168220572,830.9627912113776,848.944343128357,False
2023-12-01,825.6049309718211,820.1067777945822,831.565647936787,852.6822232913426,816.4368182208894,834.746588700119,False
2024-01-01,853.875076983867,847.1500710268849,860.0423624821065,853.1833966429374,844.8286299115227,863.0567664386392,False
2024-02-01,865.8193307233432,860.326285548498,872.1200460174151,853.6845739147128,856.8055413672458,874.8652664710349,False
2024-03-01,944.461728465864,938.324893973172,950.6620887267416,854.1534171689543,936.0746134218523,952.9645994575579,False
2024-04-01,945.9134037300881,940.2241735547242,951.4987790307229,854.6545944407299,936.7570691318989,954.902630890445,False
2024-05-01,871.8094703439056,865.7246168740115,877.8112880899214,855.4268705506001,863.0196341142074,881.0260572559787,False
2024-06-01,888.5728930226015,882.3845126617919,894.6326950761926,856.2248891974664,879.627536147179,897.9433439469849,False
2024-07-01,912.1038328555891,906.5639892471229,918.1487037355547,856.9971653073369,903.5557565490743,921.07663434159,False
2024-08-01,945.2993233897189,939.1313994114529,951.5306869937033,858.4143876867226,935.5874716902508,954.3196371860793,False
2024-09-01,999.456493822115,993.5822893854847,1005.3806902312813,859.8316100661085,990.6884501191406,1008.6981202381601,False
2024-10-01,1124.2897788806338,1117.8976711424866,1129.772717922973,861.2031155945465,1115.1729037357236,1133.9304631062391,False
2024-11-01,1229.4149906564564,1223.4110403827112,1235.298420311452,862.6203379739324,1219.6684045116965,1238.9655306908053,False
2024-12-01,1232.9092699219239,1227.2545164188211,1238.6804068980648,863.9918435023701,1224.017032580099,1241.9418977571606,False
2025-01-01,1118.1662242351993,1112.3874920459598,1124.3098948732572,865.4090658817561,1108.4355081918695,1127.1242812850764,False
2025-02-01,1165.1599777901924,1159.5024751388476,1171.3237655179123,866.8262882611419,1156.1067613946848,1174.5055842636507,False
2025-03-01,1155.5972713291335,1149.6822328154658,1161.8021146944977,868.1063600876839,1146.657351831693,1165.1748855669694,False
2025-04-01,1067.9092892400538,1062.0565552031994,1074.0847687708401,869.5235824670698,1058.875369845713,1076.8537565715005,False
2025-05-01,983.4006577361115,977.955920522793,988.8804137596312,870.8950879955078,974.8692825849859,992.5459875517286,False
2025-06-01,1026.9199922600853,1021.1732393416274,1032.5477674442018,872.3123103748935,1018.6592019387327,1035.7908440803499,False
2025-07-01,1026.0961759737038,1020.2100238230961,1031.8519394642972,873.6838159033315,1016.6441341068513,1035.9016522464385,False
2025-08-01,1138.5545091955264,1132.882740062233,1144.9825677448448,875.1010382827174,1129.3682541177218,1147.4633835487505,False
2025-09-01,1154.5634879947481,1148.8753000185154,1160.7934218183138,876.5182606621031,1145.703192852672,1163.4204922764388,False
2025-10-01,1164.6610403211826,1158.4070581807614,1170.7331036765224,877.8897661905411,1155.4361347092195,1173.7916601789334,False
2025-11-01,1104.5382403144583,1098.492634056176,1110.993178015036,879.306988569927,1095.6000451176233,1113.8994512898869,False
2025-12-01,1121.2850531482702,1115.6091103793767,1126.7390614205383,880.6784940983648,1112.3676206235089,1129.927107841614,False
2026-01-01,1152.1291064407326,1146.0989296835833,1158.122898873376,882.0957164777508,1143.8106281377072,1160.787174502861,False
